"example_id","design_block","G","theta_true","theta_CV","sigma","mean_nsamp","N_h","n_h","requested_rate","realized_rate","inclusion_probability"
241,"Poisson","2","2","0.6","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
242,"Poisson","4","2","0.6","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
243,"Poisson","8","2","0.6","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
244,"Lognormal","2","0.5","0","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
245,"Lognormal","4","0.5","0","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
246,"Lognormal","8","0.5","0","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
247,"Lognormal","2","0.5","0.2","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
248,"Lognormal","4","0.5","0.2","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
249,"Lognormal","8","0.5","0.2","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
250,"Lognormal","2","0.5","0.6","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
251,"Lognormal","4","0.5","0.6","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
252,"Lognormal","8","0.5","0.6","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
253,"Lognormal","2","1","0","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
254,"Lognormal","4","1","0","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
255,"Lognormal","8","1","0","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
256,"Lognormal","2","1","0.2","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
257,"Lognormal","4","1","0.2","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
258,"Lognormal","8","1","0.2","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
259,"Lognormal","2","1","0.6","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
260,"Lognormal","4","1","0.6","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
261,"Lognormal","8","1","0.6","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
262,"Lognormal","2","2","0","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
263,"Lognormal","4","2","0","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
264,"Lognormal","8","2","0","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
265,"Lognormal","2","2","0.2","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
266,"Lognormal","4","2","0.2","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
267,"Lognormal","8","2","0.2","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
268,"Lognormal","2","2","0.6","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
269,"Lognormal","4","2","0.6","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
270,"Lognormal","8","2","0.6","0.25","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
271,"Lognormal","2","0.5","0","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
272,"Lognormal","4","0.5","0","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
273,"Lognormal","8","0.5","0","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
274,"Lognormal","2","0.5","0.2","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
275,"Lognormal","4","0.5","0.2","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
276,"Lognormal","8","0.5","0.2","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
277,"Lognormal","2","0.5","0.6","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
278,"Lognormal","4","0.5","0.6","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
279,"Lognormal","8","0.5","0.6","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
280,"Lognormal","2","1","0","0.5","25",43758,876,0.02,0.0200191964897847,0.0200191964897847
