"GEN","Nsamp","rep","FIT","conv","rmse_p","theta_hat","p1_hat","p2_hat","p3_hat"
"MN",125,6,"DM",TRUE,0.0284737212324465,11650.9596019512,0.184001234934404,0.275996900777214,0.540001864288382
"DMstrong",125,6,"MN",TRUE,0.125091966168895,NA,0.164,0.168,0.668
"DMstrong",125,6,"DM",TRUE,0.124127348678725,0.219534236761595,0.173973588410234,0.162669042423521,0.663357369166245
"MN",250,6,"MN",TRUE,0.0145143607047182,NA,0.206,0.314,0.48
"MN",250,6,"DM",TRUE,0.0145115256515857,6888.9149841165,0.206002479936154,0.313994472463798,0.480003047600048
"DMstrong",250,6,"MN",TRUE,0.0679018900080599,NA,0.29,0.226,0.484
"DMstrong",250,6,"DM",TRUE,0.0492105316722662,0.0522000192693461,0.268365395946888,0.254541481924692,0.47709312212842
"MN",25,7,"MN",TRUE,0.0282842712474619,NA,0.22,0.26,0.52
"MN",25,7,"DM",TRUE,0.0317844883415718,2.8884337763704,0.223221777292822,0.25505830963468,0.521719913072498
"DMstrong",25,7,"MN",TRUE,0.058878405775519,NA,0.18,0.24,0.58
"DMstrong",25,7,"DM",TRUE,0.0618421074300127,0.973460830343339,0.164701018793101,0.248351901746448,0.586947079460452
"MN",125,7,"MN",TRUE,0.0428330090778907,NA,0.152,0.292,0.556
"MN",125,7,"DM",TRUE,0.0428330237424795,12370.6549056119,0.152000058737288,0.291999875108563,0.556000066154149
"DMstrong",125,7,"MN",TRUE,0.0198662192343351,NA,0.228,0.288,0.484
"DMstrong",125,7,"DM",TRUE,0.0536720666193629,0.0615527021386081,0.274960186456184,0.252187243144818,0.472852570398998
"MN",250,7,"MN",TRUE,0.0117756811551038,NA,0.188,0.296,0.516
"MN",250,7,"DM",TRUE,0.0117730231987649,3774.40784565833,0.188003763681774,0.295999425819314,0.515996810498911
"DMstrong",250,7,"MN",TRUE,0.184874732364016,NA,0.184,0.534,0.282
"DMstrong",250,7,"DM",TRUE,0.184930165778817,1203.50007132185,0.184003482093737,0.534066463005862,0.281930054900401
"MN",25,8,"MN",TRUE,0.114309521329882,NA,0.2,0.44,0.36
"MN",25,8,"DM",TRUE,0.114319747268215,5981.7442914531,0.200003504345592,0.440010771959842,0.359985723694567
"DMstrong",25,8,"MN",TRUE,0.0282842712474619,NA,0.24,0.28,0.48
"DMstrong",25,8,"DM",FALSE,0.0282974476432705,3413.29799864814,0.240018632613132,0.279980808632617,0.480000558754251
"MN",125,8,"MN",TRUE,0.0149666295470958,NA,0.184,0.296,0.52
"MN",125,8,"DM",TRUE,0.0149668238062897,11214.3227226891,0.184001520626853,0.295997355851815,0.520001123521332
"DMstrong",125,8,"MN",TRUE,0.127163936187375,NA,0.144,0.18,0.676
