"example_id","inp_file","design_block","dist_code","factor1","level1_code","factor2","level2_code","factor3","level3_code","factor4","level4_code","K","G","h","theta_true","theta_CV","Nmin","Nmax","nsims","random.seed","od_mult","sigma","mean_nsamp","ln_sd","nb_size","p_lbound","p_ubound"
91,"hake_ex91.inp","Lognormal",2,"mean_nsamp",-1,"sigma",0,"theta_true",-1,"G",-1,3,2,0.1,0.5,0,50,100,5,2057960418,1,0.5,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
92,"hake_ex92.inp","Lognormal",2,"mean_nsamp",-1,"sigma",0,"theta_true",-1,"G",0,3,4,0.1,0.5,0,50,100,5,2057960418,1,0.5,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
93,"hake_ex93.inp","Lognormal",2,"mean_nsamp",-1,"sigma",0,"theta_true",-1,"G",1,3,8,0.1,0.5,0,50,100,5,2057960418,1,0.5,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
94,"hake_ex94.inp","Lognormal",2,"mean_nsamp",-1,"sigma",0,"theta_true",0,"G",-1,3,2,0.1,1,0,50,100,5,2057960418,1,0.5,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
95,"hake_ex95.inp","Lognormal",2,"mean_nsamp",-1,"sigma",0,"theta_true",0,"G",0,3,4,0.1,1,0,50,100,5,2057960418,1,0.5,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
96,"hake_ex96.inp","Lognormal",2,"mean_nsamp",-1,"sigma",0,"theta_true",0,"G",1,3,8,0.1,1,0,50,100,5,2057960418,1,0.5,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
97,"hake_ex97.inp","Lognormal",2,"mean_nsamp",-1,"sigma",0,"theta_true",1,"G",-1,3,2,0.1,2,0,50,100,5,2057960418,1,0.5,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
98,"hake_ex98.inp","Lognormal",2,"mean_nsamp",-1,"sigma",0,"theta_true",1,"G",0,3,4,0.1,2,0,50,100,5,2057960418,1,0.5,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
99,"hake_ex99.inp","Lognormal",2,"mean_nsamp",-1,"sigma",0,"theta_true",1,"G",1,3,8,0.1,2,0,50,100,5,2057960418,1,0.5,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
100,"hake_ex100.inp","Lognormal",2,"mean_nsamp",-1,"sigma",1,"theta_true",-1,"G",-1,3,2,0.1,0.5,0,50,100,5,2057960418,1,1,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
101,"hake_ex101.inp","Lognormal",2,"mean_nsamp",-1,"sigma",1,"theta_true",-1,"G",0,3,4,0.1,0.5,0,50,100,5,2057960418,1,1,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
102,"hake_ex102.inp","Lognormal",2,"mean_nsamp",-1,"sigma",1,"theta_true",-1,"G",1,3,8,0.1,0.5,0,50,100,5,2057960418,1,1,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
