"experiment","file","distribution","rmse_best","l1_best","linf_best","rmse_i","rmse_ii","rmse_iii","rmse_iv","rmse_v","l1_i","l1_ii","l1_iii","l1_iv","l1_v","linf_i","linf_ii","linf_iii","linf_iv","linf_v","rmse_friedman_chisq","rmse_friedman_df","rmse_friedman_p","rmse_kendall_w","rmse_anova_f","rmse_anova_p","l1_friedman_chisq","l1_friedman_df","l1_friedman_p","l1_kendall_w","l1_anova_f","l1_anova_p","linf_friedman_chisq","linf_friedman_df","linf_friedman_p","linf_kendall_w","linf_anova_f","linf_anova_p"
61,"hake_ex61.lst","Poisson","(iii)","(iii)","(iii)",NA,0.6119,0.00096,0.08834,0.00188,NA,0.56698,0.00027,0.02813,0.00081,NA,0.56698,0.00027,0.02813,0.00081,34.865,4,NA,NA,NA,NA,26.703,4,NA,NA,NA,NA,26.703,4,NA,NA,NA,NA
62,"hake_ex62.lst","Poisson","(iii)","(iv)","(iv)",NA,0.25,6.9e-12,8.3e-12,1.8e-10,NA,0.24,1.1e-11,9.9e-12,8.6e-10,NA,0.24,1.1e-11,9.9e-12,8.6e-10,104.7,4,NA,NA,NA,NA,99.733,4,NA,NA,NA,NA,99.733,4,NA,NA,NA,NA
63,"hake_ex63.lst","Poisson","(ii)","(ii)","(ii)",NA,3.1e-06,0.26,0.26,0.26,NA,3.8e-06,0.25,0.25,0.25,NA,3.8e-06,0.25,0.25,0.25,87.728,4,NA,NA,NA,NA,82.432,4,NA,NA,NA,NA,82.432,4,NA,NA,NA,NA
64,"hake_ex64.lst","Poisson","(ii)","(ii)","(ii)",NA,6.2e-07,0.9,1,1,NA,5.3e-07,0.99,0.99,1,NA,5.3e-07,0.99,0.99,1,45.307,4,NA,NA,NA,NA,52.468,4,NA,NA,NA,NA,52.468,4,NA,NA,NA,NA
65,"hake_ex65.lst","Poisson","(ii)","(ii)","(ii)",NA,0.0032,0.1109,0.0976,0.1109,NA,0.0036,0.0698,0.0698,0.1123,NA,0.0036,0.0698,0.0698,0.1123,59.644,4,NA,NA,NA,NA,59.125,4,NA,NA,NA,NA,59.125,4,NA,NA,NA,NA
66,"hake_ex66.lst","Poisson","(ii)","(ii)","(ii)",NA,4.6e-14,0.2222,0.8172,0.1143,NA,5e-14,0.2154,0.5033,0.0994,NA,5e-14,0.2154,0.5033,0.0994,93.653,4,NA,NA,NA,NA,100.63,4,NA,NA,NA,NA,100.63,4,NA,NA,NA,NA
67,"hake_ex67.lst","Poisson","(ii)","(ii)","(ii)",NA,2.1e-05,0.081,1,0.448,NA,5.6e-05,0.0079,0.6826,0.6826,NA,5.6e-05,0.0079,0.6826,0.6826,50.068,4,NA,NA,NA,NA,51.105,4,NA,NA,NA,NA,51.105,4,NA,NA,NA,NA
68,"hake_ex68.lst","Poisson","(v)","(v)","(v)",NA,0.014,0.028,0.266,0.012,NA,0.0119,0.0142,0.2123,0.0069,NA,0.0119,0.0142,0.2123,0.0069,58.344,4,NA,NA,NA,NA,60.204,4,NA,NA,NA,NA,60.204,4,NA,NA,NA,NA
69,"hake_ex69.lst","Poisson","(iii)","(ii)","(ii)",NA,NA,0.54,1,1,NA,5.9e-16,0.34,1,1,NA,5.9e-16,0.34,1,1,100.34,4,NA,NA,NA,NA,97.144,4,NA,NA,NA,NA,97.144,4,NA,NA,NA,NA
70,"hake_ex70.lst","Poisson","(ii)","(ii)","(ii)",NA,2.5e-05,1,1,0.58,NA,2.9e-05,0.86,0.86,0.28,NA,2.9e-05,0.86,0.86,0.28,42.131,4,NA,NA,NA,NA,44.383,4,NA,NA,NA,NA,44.383,4,NA,NA,NA,NA
71,"hake_ex71.lst","Poisson","(ii)","(ii)","(ii)",NA,0.00013,0.00336,0.00921,0.00209,NA,0.00015,0.00106,0.0038,0.00175,NA,0.00015,0.00106,0.0038,0.00175,95.045,4,NA,NA,NA,NA,87.479,4,NA,NA,NA,NA,87.479,4,NA,NA,NA,NA
72,"hake_ex72.lst","Poisson","(iii)","(iii)","(iii)",NA,NA,1,1,1,NA,NA,0.71,0.99,0.99,NA,NA,0.71,0.99,0.99,122.5,4,NA,NA,NA,NA,125.18,4,NA,NA,NA,NA,125.18,4,NA,NA,NA,NA
73,"hake_ex73.lst","Poisson","(ii)","(ii)","(ii)",NA,4.1e-09,0.0432,0.0432,1,NA,1e-09,0.0354,0.056,1,NA,1e-09,0.0354,0.056,1,53.636,4,NA,NA,NA,NA,57.016,4,NA,NA,NA,NA,57.016,4,NA,NA,NA,NA
74,"hake_ex74.lst","Poisson","(ii)","(ii)","(ii)",NA,4.3e-13,0.073,0.08,0.891,NA,4.6e-13,0.188,0.193,1,NA,4.6e-13,0.188,0.193,1,110.18,4,NA,NA,NA,NA,101.42,4,NA,NA,NA,NA,101.42,4,NA,NA,NA,NA
75,"hake_ex75.lst","Poisson","(ii)","(v)","(v)",NA,2.9e-16,0.335,0.71,0.055,NA,NA,0.121,0.998,0.027,NA,NA,0.121,0.998,0.027,109.67,4,NA,NA,NA,NA,112.63,4,NA,NA,NA,NA,112.63,4,NA,NA,NA,NA
76,"hake_ex76.lst","Poisson","(ii)","(ii)","(ii)",NA,9.7e-08,0.00035,0.0869,0.3685,NA,7.1e-08,0.0032,0.1775,0.2726,NA,7.1e-08,0.0032,0.1775,0.2726,27.687,4,NA,NA,NA,NA,27.518,4,NA,NA,NA,NA,27.518,4,NA,NA,NA,NA
77,"hake_ex77.lst","Poisson","(iii)","(iii)","(iii)",NA,NA,0.33,0.56,1,NA,NA,0.58,0.93,1,NA,NA,0.58,0.93,1,109.27,4,NA,NA,NA,NA,105.85,4,NA,NA,NA,NA,105.85,4,NA,NA,NA,NA
78,"hake_ex78.lst","Poisson","(ii)","(ii)","(ii)",NA,4.3e-12,1,1,0.43,NA,1e-11,0.93,0.93,0.46,NA,1e-11,0.93,0.93,0.46,65.947,4,NA,NA,NA,NA,66.095,4,NA,NA,NA,NA,66.095,4,NA,NA,NA,NA
79,"hake_ex79.lst","Poisson","(ii)","(ii)","(ii)",NA,1.6e-06,0.0084,0.2656,0.5151,NA,1e-06,0.0108,0.2529,0.4876,NA,1e-06,0.0108,0.2529,0.4876,22.257,4,NA,NA,NA,NA,28.582,4,NA,NA,NA,NA,28.582,4,NA,NA,NA,NA
80,"hake_ex80.lst","Poisson","(ii)","(ii)","(ii)",NA,1.7e-13,0.76,0.76,1,NA,3.8e-13,1,1,1,NA,3.8e-13,1,1,1,102.65,4,NA,NA,NA,NA,92.865,4,NA,NA,NA,NA,92.865,4,NA,NA,NA,NA
