"p1","p2","p3","p4","p5","rmse_i","rmse_ii","rmse_iii","rmse_iv","N1"
0.12,0.4,0.4,0.04,0.04,0.0378114925779264,0.0378114595304267,0.0378114314278601,0.0378115211766386,166
0.08,0.44,0.4,0.04,0.04,0.0643491661542105,0.064346989464105,0.0643457079200124,0.064346874759876,62
0.04,0.48,0.4,0.04,0.04,0.0120261181018154,0.512874253594387,0.0120267277231818,0.0120266912533906,266
0.44,0.04,0.44,0.04,0.04,0.033412835094319,0.0334054484225504,0.0334081590867839,0.0334073252852731,90
0.4,0.08,0.44,0.04,0.04,0.0323318677316705,0.0323319522452747,0.0323343063095206,0.0323309914118184,115
0.36,0.12,0.44,0.04,0.04,0.352363446308921,0.110276318283344,0.110278007889148,0.110277518629551,206
0.32,0.16,0.44,0.04,0.04,0.0844433487423716,0.0844433002829891,0.0844396489624099,0.0844432941535596,107
0.28,0.2,0.44,0.04,0.04,0.0547715042693091,0.0547729719553173,0.0547726636076871,0.0547729579483121,339
0.24,0.24,0.44,0.04,0.04,0.0632797288905244,0.0632796098899128,0.0632796666034132,0.0632796587271962,127
0.2,0.28,0.44,0.04,0.04,0.42772690921053,0.0172412678792467,0.0172408287469084,0.0172411701300248,664
0.16,0.32,0.44,0.04,0.04,0.448285623234508,0.298261630116641,0.043972863414089,0.0439728092890402,226
0.12,0.36,0.44,0.04,0.04,0.103537580214303,0.502155354447207,0.103536627252913,0.103536568599106,391
0.08,0.4,0.44,0.04,0.04,0.0375265594788035,0.0375255488604669,0.0375220652797463,0.0375256656568594,54
0.04,0.44,0.44,0.04,0.04,0.0207220695662727,0.0207252342833188,0.0207215313475906,0.0207218836503521,248
0.4,0.04,0.48,0.04,0.04,0.0927995061179819,0.0927982828288632,0.0927977247479314,0.0927977832247547,56
0.36,0.08,0.48,0.04,0.04,0.0570426550807064,0.0570425497072545,0.057043471207435,0.0570426001214905,531
0.32,0.12,0.48,0.04,0.04,0.11625848760043,0.116258956947214,0.116265203331292,0.116258547944897,82
0.28,0.16,0.48,0.04,0.04,0.0838188023732468,0.0838187143850165,0.0838104109497619,0.0838187832688196,78
0.24,0.2,0.48,0.04,0.04,0.0468450567375079,0.0468434880081241,0.0468434506501454,0.0468435896891237,133
0.2,0.24,0.48,0.04,0.04,0.0274450055668804,0.0274444784125082,0.0274452888976888,0.0274448959226848,721
0.16,0.28,0.48,0.04,0.04,0.0456147515838539,0.0456148638108966,0.0456146937475157,0.0456147039877808,283
0.12,0.32,0.48,0.04,0.04,0.0306223417528062,0.0306228789550156,0.0306229801744495,0.0306228391667673,297
0.08,0.36,0.48,0.04,0.04,0.0963528939253893,0.0963591974265335,0.0963605489985358,0.0963600033512167,139
0.04,0.4,0.48,0.04,0.04,0.0498399734530233,0.0498404702500306,0.0498402953663818,0.049840274856556,353
0.36,0.04,0.52,0.04,0.04,0.0698881175566947,0.0698886620686251,0.0699047429290577,0.0698886871410713,87
0.32,0.08,0.52,0.04,0.04,0.0333730956025714,0.0333732300247769,0.0333730765959274,0.0333732900144738,955
0.28,0.12,0.52,0.04,0.04,0.0617909364168621,0.0617908763447359,0.0617898548741105,0.0617908436282446,66
0.24,0.16,0.52,0.04,0.04,0.454469373442646,0.0719548104486625,0.0719524908274198,0.0719548469527939,400
0.2,0.2,0.52,0.04,0.04,0.0763632336863198,0.0763615665855477,0.0763643555572745,0.0763617123374739,60
0.16,0.24,0.52,0.04,0.04,0.0530150016506213,0.0530087757828814,0.0530096821148724,0.0530099374682392,589
